NAME	CD14	CD19	CD4_Eff	CD56	CD8	Endothelial	Eos	Fibroblast	Neu	Treg
cg01913024	3.24964246318353	2.92921428875742	2.32053664919545	2.9056359753946	3.37022719635211	3.25754790762534	2.72592600028868	27.0648099889325	2.490262761538	2.26214924765283
cg02821380	2.46332039864999	2.31415940078151	1.97660145467304	2.30387497186689	2.29536398579036	2.68967810599701	2.51202661464801	30.7197494467011	2.30904772272335	1.97955317760034
cg03364121	4.64791326931264	4.06526037806345	3.55824948230637	4.38684979125814	4.73302728368079	5.14393382769582	3.97435249412218	35.6692369716914	4.15024247470807	4.77784140879585
cg04665139	2.61663418954561	2.3326114613109	1.90465162868552	2.56055936964024	2.92024708918163	3.21099258610274	2.25397659644256	42.2375198324781	2.34135644882395	1.91454713705832
cg05200254	4.29824061966106	4.11709175097434	3.0871231830165	3.85002166780507	4.53827845947586	5.06629557513365	3.57464772984593	41.09145283211	3.80257365005034	3.79718750440039
cg08462017	56.3525088994009	55.2179866289891	25.9137708350574	55.4700911917197	54.3002787004828	45.2316629561082	53.2702010267562	48.8130804731276	53.5526904888867	19.1446281671367
cg09773839	1.79551430976561	1.60747203426325	1.30079902848069	1.65518894896652	1.75355897188454	1.42846235824188	1.52170609628001	35.5101853471392	1.63255228803859	1.2604153046142
cg10873964	5.3675131543022	5.12305503580355	4.16477014487115	4.85302300248087	5.69819356689886	5.63631666382531	4.76526277353334	35.2613616907964	4.45066666413192	4.5885199052448
cg10956264	2.67134746045427	2.58476699776895	2.09948970698763	2.67351192898687	2.74602410542138	2.98393594117155	2.36367542989411	44.7481553138026	2.31426156758035	1.82818178484559
cg13682241	3.21230434634235	3.16055481630994	2.18175605853263	2.9078939750977	3.39362274036818	4.18485086951068	2.97632048495778	42.2415761328879	2.70232967476126	1.89999052227715
cg13918312	5.66397473146817	4.73837866330203	4.03631390411651	4.53294548161319	4.89986812030107	6.45554275943004	3.99460839560169	44.1778609243924	4.47430758582639	3.764602092977
cg14214586	4.74251960638085	4.27607477948681	3.31246078080391	4.29217480433295	4.76191722209689	5.36347080005636	3.77224335281346	43.2268540752777	3.86005179692228	3.83430448917613
cg15755924	3.50453536745872	3.2270526757543	2.25780350720407	3.09972286944767	3.20257329857874	3.14796868625634	3.10337866224875	43.2212718228955	2.65308472808549	2.27244502422885
cg15771339	5.38387967439941	5.14703888451885	3.58531114086425	4.63049584680364	5.5588328902351	5.67680323323726	4.82957521008589	56.7751127516324	4.61778545850628	3.73280770608731
cg19780807	2.05163113804821	1.79290523188541	1.48988388989964	1.92695539432611	2.04974668126391	3.32331199474478	1.94897161707356	40.0963070341735	1.96462496508855	1.50702491264657
cg20517444	2.99668555377967	2.65385259413759	2.08635362195902	2.71821204492623	3.05309184475926	2.97373208839868	2.60414412911186	37.4540620563889	2.53642036432592	2.24983345648951
cg21945665	5.02918855096836	5.02774920961172	4.00008676167539	4.78905033639954	5.11518689593309	5.03723021382837	4.60206699881755	38.7748708319715	4.30996957140375	4.17426887348683
